question,optionA,optionB,optionC,optionD,correctAnswer
"¿Qué significan las siglas de Magerit?","Metodología para la Gestión de Recursos en IT","Metodología de Análisis y Gestión de Riesgos de los Sistemas de Información","Metodología de Administración y Gestión Electrónica","Método de Gestión de Riesgos Informáticos","B"
"¿Quién desarrolló la metodología Magerit?","El Ministerio de Ciencia e Innovación","El Consejo Superior de Administración Electrónica del Ministerio de Hacienda","La Agencia Española de Protección de Datos","El Instituto Nacional de Ciberseguridad","B"
"¿Cuántos libros componen la metodología Magerit?","1","2","3","4","C"
"¿Cuál es uno de los activos clasificados por Magerit?","Datos","Aplicaciones móviles","Clientes","Procesos","A"
"¿Qué dimensión NO forma parte de la valoración de activos en Magerit?","Disponibilidad","Integridad","Rentabilidad","Autenticidad","C"
"Según Magerit, ¿qué se debe hacer después de definir los activos?","Definir las amenazas","Identificar los clientes","Clasificar los datos","Implementar salvaguardas","A"
"¿Cuál de las siguientes es una amenaza identificada en el ejemplo de Magerit?","Ataques DDoS","Errores de los usuarios","Robo de datos","Pérdida de clientes","B"
"¿Qué medida de salvaguarda propone Magerit para la amenaza de fuego?","Implementar un sistema de backup","Cursos de formación","Poner extintores de incendio","Instalación de firewalls y antivirus","C"
"¿En qué año se publicó por primera vez Magerit?","1997","2000","2005","2012","A"
"¿Cuál es un ejemplo de activo identificado en el caso de una empresa de ascensores?","Clientes","Edificio principal","Proveedores","Competencia","B"
"¿Qué objetivo principal persigue Magerit?","Minimizar los costos operativos","Análisis y gestión de riesgos","Mejorar la experiencia del usuario","Aumentar la productividad","B"
"¿Cómo se clasifica un hardware según Magerit?","HW","SYS","DEV","INF","A"
"¿Qué dimensión está relacionada con garantizar la veracidad de la identidad?","Disponibilidad","Integridad","Autenticidad","Trazabilidad","C"
"¿Qué amenaza afecta al software según el ejemplo de Magerit?","Fuego","Errores de los usuarios","Difusión de software dañino","Robo de equipos","C"
"¿Qué recurso propone Magerit para valorar los activos?","Gráficos de dependencias","Tablas de valoración","Diagramas de flujo","Mapas de calor","B"
"¿Cuál de las siguientes NO es una categoría de activos en Magerit?","Servicios","Soportes de información","Clientes","Claves criptográficas","C"
"¿Qué acción se realiza para determinar cómo afectan las amenazas a una organización?","Definir salvaguardas","Valorar activos","Identificar dimensiones","Configurar herramientas","B"
"¿Qué categoría de activos incluye claves criptográficas?","SW","K","COM","Media","B"
"¿Qué amenaza está clasificada como errores de usuario según Magerit?","Error humano","Robo de credenciales","Fallo de hardware","Inyección de código","A"
"¿Qué medida es recomendada para la difusión de software dañino?","Cursos de formación","Antivirus y firewalls","Redundancia de datos","Pruebas de penetración","B"
"¿Qué año corresponde a la última versión publicada de Magerit?","2010","2012","2015","2018","B"
"¿Qué dimensión ayuda a rastrear las acciones realizadas en un sistema?","Disponibilidad","Trazabilidad","Confidencialidad","Integridad","B"
"¿Qué enfoque utiliza Magerit para clasificar los activos?","Funcionalidad","Categorías predefinidas","Impacto financiero","Ubicación geográfica","B"
"¿Qué se evalúa al valorar activos en Magerit?","Impacto financiero","Riesgo operativo","Dimensiones clave","Gasto energético","C"
"¿Cuál es un ejemplo de salvaguarda técnica según Magerit?","Formación a empleados","Instalación de firewalls","Análisis financiero","Gestión de contratos","B"
"¿Qué categoría incluye las redes de comunicación según Magerit?","SW","COM","Media","AUX","B"
"¿Qué dimensión está relacionada con el acceso no autorizado a datos?","Disponibilidad","Confidencialidad","Trazabilidad","Autenticidad","B"
"¿Qué representa la categoría 'Media' en Magerit?","Hardware complementario","Soportes de información","Plataformas de software","Equipos auxiliares","B"
"¿Qué herramienta es útil para visualizar dependencias entre activos?","Tablas de riesgo","Gráficos de dependencias","Matriz de impacto","Esquemas jerárquicos","B"
"¿Qué activo estaría clasificado como 'AUX' en Magerit?","Servidor principal","Cableado estructurado","Equipo de respaldo","Sistemas de autenticación","C"
"¿Qué salvaguarda está orientada a la dimensión de disponibilidad?","Formación a usuarios","Sistema de respaldo","Gestión de accesos","Registros de auditoría","B"
"¿Qué ejemplo describe una amenaza natural en Magerit?","Errores humanos","Incendio","Ataque de phishing","Fallo de software","B"
"¿Qué es un riesgo según la definición del estándar UNE-ISO 31000:2018?","Una circunstancia con impacto positivo","Una incertidumbre con efecto sobre los objetivos","Un problema inevitable en el proyecto","Un impacto exclusivamente negativo","B"
"¿Qué incluye la fórmula de Exposición al Riesgo (ER)?","Costo + probabilidad","Probabilidad x pérdida asociada","Impacto x duración","Severidad / impacto","B"
"¿Cuál es el objetivo principal de la gestión de riesgos?","Incrementar los beneficios","Reducir los costos del proyecto","Incrementar oportunidades y reducir amenazas","Eliminar todas las amenazas del proyecto","C"
"¿Qué estándar establece las reglas genéricas para la gestión de riesgos?","UNE-ISO 31000:2018","PMBOK","ISO 21500","CMMI","A"
"¿Qué proceso corresponde a la planificación de la gestión de riesgos?","Identificar riesgos","Realizar análisis cuantitativo","Controlar riesgos","Definir cómo se gestionarán los riesgos","D"
"¿Qué se prioriza en el análisis cualitativo de riesgos?","Costos y beneficios","Probabilidad e impacto","Duración e impacto","Severidad y costo","B"
"¿Qué objetivo tiene el análisis cuantitativo de riesgos?","Documentar riesgos menores","Determinar el impacto numérico en objetivos del proyecto","Clasificar riesgos por probabilidad","Asegurar la ejecución del plan","B"
"¿Cuál de las siguientes acciones se incluye en la planificación de la respuesta a riesgos?","Eliminar riesgos innecesarios","Incrementar la probabilidad de oportunidades","Reducir el impacto positivo de eventos","Evitar el uso de presupuestos extra","B"
"¿Qué actividad corresponde al control de riesgos?","Diseñar el plan de gestión de riesgos","Eliminar riesgos de la lista","Monitorizar riesgos residuales y emergentes","Aumentar el fondo de reserva","C"
